OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV1349,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13492,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia haitanensis
ASV13495,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema menzelii
ASV13504,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Chaetomellaceae,Synchaetomella,Synchaetomella acerina
ASV1351,Eukaryota,Unidentified,Oomycetes,Saprolegniales,Saprolegniaceae,Protoachlya,Protoachlya paradoxa
ASV13513,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium fundyense
ASV13514,Eukaryota,Unidentified,Unidentified,Unidentified,Vexilliferidae,Vexillifera,Vexillifera kereti
ASV13515,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Undinula,Undinula vulgaris
ASV13517,Eukaryota,Unidentified,Oomycetes,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces laevis
ASV13519,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,Sciophila,Sciophila sp. BOLD-2016
ASV1352,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV13522,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia sp. (in: Bacillariophyta)
ASV13524,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos macroceros
ASV13530,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. RS40
ASV13531,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Archaeobalanidae,Conopea,Conopea saotomensis
ASV13532,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV13536,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. 19 LG-2014
ASV13537,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13539,Eukaryota,Unidentified,Unidentified,Unidentified,Vexilliferidae,Vexillifera,Vexillifera abyssalis
ASV1354,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV13540,Eukaryota,Arthropoda,Malacostraca,Isopoda,Thambematidae,Thambema,Thambema sp. NB-Iso29
ASV13541,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13542,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,Pinnularia sp.
ASV13545,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia alba
ASV13546,Eukaryota,Porifera,Demospongiae,Haplosclerida,Callyspongiidae,Callyspongia,Callyspongia plicifera
ASV13548,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos macroceros
ASV13549,Eukaryota,Echinodermata,Echinoidea,Spatangoida,Brissidae,Metalia,Metalia spatagus
ASV1355,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages orsinii
ASV13551,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV13552,Eukaryota,Arthropoda,Insecta,Coleoptera,Cleridae,Trichodes,Trichodes sinae
ASV13553,Eukaryota,Arthropoda,Insecta,Coleoptera,Curculionidae,Decilaus,Decilaus sp. TFIC 03
ASV13556,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium fundyense
ASV13557,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis
ASV13559,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV13563,Eukaryota,Arthropoda,Insecta,Hymenoptera,Crabronidae,Mimesa,Mimesa crassipes
ASV13569,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia ruminantium
ASV13571,Eukaryota,Arthropoda,Insecta,Diptera,Dolichopodidae,Unidentified,Dolichopodidae sp. BOLD:AAG9648
ASV13577,Eukaryota,Arthropoda,Insecta,Diptera,Ephydridae,Unidentified,Ephydridae sp. BIOUG02404-E07
ASV1358,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV13585,Eukaryota,Unidentified,Unidentified,Unidentified,Vexilliferidae,Vexillifera,Vexillifera kereti
ASV13588,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia cuspidata
ASV13589,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Kareniaceae,Takayama,Takayama acrotrocha
ASV13591,Eukaryota,Arthropoda,Insecta,Diptera,Psychodidae,Psathyromyia,Psathyromyia pascalei
ASV13595,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV13598,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Unidentified,Corynidae sp. BCnid2010-002
ASV13599,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV136,Eukaryota,Annelida,Clitellata,Haplotaxida,Naididae,Stylaria,Stylaria lacustris
ASV1360,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13601,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV13603,Eukaryota,Annelida,Clitellata,Haplotaxida,Naididae,Stylaria,Stylaria lacustris
ASV13604,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13605,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,Centropages tenuiremis
ASV13607,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos macroceros
ASV13609,Eukaryota,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Piestoceros,Piestoceros sp. ANIC5
ASV13610,Eukaryota,Porifera,Demospongiae,Desmacellida,Desmacellidae,Desmacella,Desmacella cf. annexa BELUM<GBR> Mc4240
ASV13612,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos macroceros
ASV13618,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema tropicum
ASV1362,Eukaryota,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,Chloropicon primus
ASV13627,Eukaryota,Mollusca,Gastropoda,Unidentified,Provannidae,Provanna,Provanna glabra
ASV13628,Eukaryota,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Unidentified,Isotomidae sp. BIOUG23106-A01
ASV1363,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13630,Eukaryota,Chordata,Chondrichthyes,Pristiformes/Rhiniformes group,Rhinidae,Rhina,Rhina ancylostoma
ASV13631,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Cosmospora,Cosmospora gigas
ASV13632,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. 19 LG-2014
ASV13635,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Berkeleyaceae,Berkeleya,Berkeleya fennica
ASV13636,Eukaryota,Unidentified,Unidentified,Unidentified,Vexilliferidae,Vexillifera,Vexillifera kereti
ASV13640,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia subfraudulenta
ASV13642,Eukaryota,Arthropoda,Insecta,Lepidoptera,Sphingidae,Xylophanes,Xylophanes zurcheri
ASV13643,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea
ASV13645,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Corycaeidae,Corycaeus,Unidentified
ASV13648,Eukaryota,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides
ASV13650,Eukaryota,Mollusca,Gastropoda,Nudibranchia,Facelinidae,Favorinus,Favorinus tsuruganus
ASV13652,Eukaryota,Unidentified,Unidentified,Unidentified,Paramoebidae,Neoparamoeba,Neoparamoeba longipodia
ASV13659,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides
ASV13660,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV13661,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Ceratiaceae,Neoceratium,Neoceratium lineatum
ASV13662,Eukaryota,Chordata,Unidentified,Squamata,Scincidae,Emoia,Emoia concolor
ASV13663,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,Laurencia sp. ARS-2010
ASV13664,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13665,Eukaryota,Unidentified,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,Scrippsiella sp. DINOB785-08
ASV13666,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Zancleidae,Zanclea,Zanclea implexa
ASV13671,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13673,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Orthopyxis,Orthopyxis integra
ASV13675,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV13676,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos macroceros
ASV13677,Eukaryota,Annelida,Clitellata,Haplotaxida,Naididae,Unidentified,Naidinae sp. CCDB-08167-A03
ASV13681,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13682,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV13685,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis
ASV13689,Eukaryota,Chordata,Aves,Passeriformes,Fringillidae,Linaria,Linaria cannabina
ASV13691,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Lutjanidae,Caesio,Caesio cuning
ASV13693,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia cuspidata
ASV13699,Eukaryota,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,Heteropoda renibulbis
ASV13701,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma gamsii
ASV13703,Eukaryota,Arthropoda,Insecta,Diptera,Muscidae,Spilogona,Spilogona griseola
ASV13704,Eukaryota,Arthropoda,Malacostraca,Amphipoda,Talitridae,Platorchestia,Platorchestia pacifica
ASV13706,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora blackfordensis
ASV13711,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Millerozyma,Millerozyma farinosa
ASV13717,Eukaryota,Arthropoda,Insecta,Hemiptera,Membracidae,Atymna,Atymna helena
ASV13719,Eukaryota,Porifera,Demospongiae,Suberitida,Halichondriidae,Hymeniacidon,Hymeniacidon flavia
ASV13721,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Karlodinium sp. RS-24
ASV13724,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides
ASV1373,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13730,Eukaryota,Unidentified,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis pyrifera
ASV13731,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides
ASV13736,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae,Sellaphora,Sellaphora pupula
ASV13737,Eukaryota,Unidentified,Unidentified,Unidentified,Paramoebidae,Cunea,Cunea thuwala
ASV13738,Eukaryota,Arthropoda,Arachnida,Trombidiformes,Unidentified,Unidentified,Trombidiformes sp. BOLD:ACJ2331
ASV13739,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV13740,Eukaryota,Unidentified,Unidentified,Himatismenida,Unidentified,Parvamoeba,Parvamoeba rugata
ASV13741,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13742,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis
ASV13743,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis tropicalis
ASV13747,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,Cyclotella cryptica
ASV13749,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,Alexandrium fundyense
ASV13751,Eukaryota,Arthropoda,Insecta,Hemiptera,Reduviidae,Cydnocoris,Cydnocoris russatus
ASV13752,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV13757,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema potamos
ASV13761,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia delicatissima
ASV13762,Eukaryota,Unidentified,Dinophyceae,Peridiniales,Oxytoxaceae,Thecadinium,Thecadinium sp. CCMP2726
ASV13764,Eukaryota,Mollusca,Gastropoda,Neogastropoda,Muricidae,Vasula,Vasula speciosa
ASV13768,Eukaryota,Arthropoda,Arachnida,Scorpiones,Chactidae,Uroctonus,Uroctonus mordax
ASV13770,Eukaryota,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum (Dialictus) sp. 1 PLG-2016
ASV13772,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Acrocalanus,Acrocalanus gracilis
ASV13774,Eukaryota,Unidentified,Unidentified,Unidentified,Vexilliferidae,Vexillifera,Vexillifera kereti
ASV13775,Eukaryota,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,Chlorella sp. ATCC 30562
ASV13779,Eukaryota,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Bulbaeolidia,Bulbaeolidia sulphurea
ASV13780,Eukaryota,Unidentified,Oomycetes,Unidentified,Unidentified,Haptoglossa,Haptoglossa sp. DM2 4/12
ASV13782,Eukaryota,Unidentified,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi
ASV13787,Eukaryota,Porifera,Demospongiae,Bubarida,Dictyonellidae,Scopalina,Scopalina ruetzleri
ASV13788,Eukaryota,Unidentified,Phaeophyceae,Cutleriales,Cutleriaceae,Cutleria,Cutleria multifida
ASV13789,Eukaryota,Arthropoda,Insecta,Coleoptera,Cleridae,Trichodes,Trichodes sinae
ASV13790,Eukaryota,Chordata,Chondrichthyes,Pristiformes/Rhiniformes group,Rhynchobatidae,Rhynchobatus,Rhynchobatus cf. laevis KKB-2014
ASV13791,Eukaryota,Arthropoda,Arachnida,Araneae,Pimoidae,Pimoa,Pimoa reniformis
ASV13792,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus terreus
ASV13796,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Neonectria,Neonectria ditissima
ASV13797,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Pinnularia,Pinnularia sp. 10 CS-2011
ASV13798,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Clytia,Clytia hemisphaerica
ASV13799,Eukaryota,Unidentified,Oomycetes,Pythiales,Pythiaceae,Pythium,Pythium sulcatum
ASV13800,Eukaryota,Unidentified,Unidentified,Himatismenida,Unidentified,Parvamoeba,Parvamoeba rugata
ASV13802,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema potamos
ASV13806,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema grevillei
ASV13807,Eukaryota,Unidentified,Dinophyceae,Unidentified,Unidentified,Levanderina,Levanderina fissa
ASV13808,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis
ASV13809,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia cuspidata
ASV13815,Eukaryota,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Neogoniolithon,Neogoniolithon megalocystum
ASV13817,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Lithodesmium,Lithodesmium variabile
ASV13819,Eukaryota,Arthropoda,Insecta,Hymenoptera,Crabronidae,Tachysphex,Tachysphex detritus
ASV13820,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca closterium
ASV13829,Eukaryota,Unidentified,Dinophyceae,Peridiniales,Oxytoxaceae,Thecadinium,Thecadinium sp. CCMP2726
ASV13832,Eukaryota,Arthropoda,Insecta,Lepidoptera,Notodontidae,Thaumetopoea,Thaumetopoea pityocampa
ASV13835,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV13837,Eukaryota,Unidentified,Unidentified,Himatismenida,Unidentified,Parvamoeba,Parvamoeba rugata
ASV13838,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia circumpora
ASV13841,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Synedra,Synedra sp. 26 LG-2014
ASV13843,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13845,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos macroceros
ASV13847,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Corynidae,Sarsia,Sarsia tubulosa
ASV13848,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13849,Eukaryota,Chordata,Actinopteri,Perciformes,Serranidae,Plectropomus,Plectropomus areolatus
ASV13851,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13858,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13859,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia pseudodelicatissima
ASV1386,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Tetramorium,Tetramorium valky
ASV13860,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros socialis
ASV13863,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. MBTD-CMFRI-S005
ASV13867,Eukaryota,Unidentified,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium,Lepidodinium chlorophorum
ASV13869,Eukaryota,Unidentified,Oomycetes,Peronosporales,Peronosporaceae,Nothophytophthora,Nothophytophthora intricata
ASV13870,Eukaryota,Chordata,Actinopteri,Unidentified,Sciaenidae,Protonibea,Protonibea diacanthus
ASV13872,Eukaryota,Chordata,Amphibia,Anura,Cycloramphidae,Cycloramphus,Cycloramphus boraceiensis
ASV13873,Eukaryota,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Mimeoma,Mimeoma maculata
ASV13875,Eukaryota,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo,Tenthredo sp. BBHEC316-09
ASV13877,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Malagazziidae,Malagazzia,Malagazzia taeniogonia
ASV13878,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. MBTD-CMFRI-S045
ASV13882,Eukaryota,Unidentified,Unidentified,Unidentified,Vexilliferidae,Vexillifera,Vexillifera abyssalis
ASV13883,Eukaryota,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Atelomycterus,Atelomycterus erdmanni
ASV13886,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV13890,Eukaryota,Arthropoda,Insecta,Hymenoptera,Formicidae,Mystrium,Mystrium silvestrii
ASV13892,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter ubique
ASV13896,Eukaryota,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona amboinensis
ASV13899,Eukaryota,Unidentified,Oomycetes,Unidentified,Unidentified,Haptoglossa,Haptoglossa sp. DM2 4/12
ASV13900,Eukaryota,Unidentified,Dinophyceae,Lophodiniales,Lophodiniaceae,Woloszynskia,Woloszynskia sp. S4-35
ASV13903,Eukaryota,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus coatesi
ASV13906,Eukaryota,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,Thalassionema nitzschioides
ASV13909,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,Ilyonectria destructans
ASV13912,Eukaryota,Annelida,Polychaeta,Aspidosiphonidormes,Aspidosiphonidae,Aspidosiphon,Aspidosiphon gracilis
ASV13913,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia haitanensis
ASV13917,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Bestiolina,Bestiolina sp. AC-2013
ASV13918,Eukaryota,Chordata,Chondrichthyes,Pristiformes/Rhiniformes group,Rhynchobatidae,Rhynchobatus,Rhynchobatus springeri
ASV1392,Eukaryota,Colponemidia,Unidentified,Unidentified,Unidentified,Colponema,Colponema vietnamica
ASV13921,Eukaryota,Chordata,Actinopteri,Perciformes,Serranidae,Plectropomus,Plectropomus sp. BOLD:AAD0971
ASV13924,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,Skeletonema potamos
ASV13926,Eukaryota,Arthropoda,Insecta,Hemiptera,Reduviidae,Cydnocoris,Cydnocoris russatus
ASV13927,Eukaryota,Unidentified,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Scytosiphon,Scytosiphon canaliculatus
ASV13930,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13933,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,Cylindrotheca fusiformis
ASV13935,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos macroceros
ASV13939,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Unidentified,alpha proteobacterium HIMB5
ASV1394,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera
ASV13942,Eukaryota,Unidentified,Unidentified,Unidentified,Paramoebidae,Paramoeba,Paramoeba pemaquidensis
ASV13943,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV13944,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Unidentified,alpha proteobacterium HIMB5
ASV13946,Eukaryota,Unidentified,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium cf. depressum
ASV13948,Eukaryota,Unidentified,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos macroceros
ASV13949,Eukaryota,Unidentified,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora hydrogena
ASV13951,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis terrae
ASV13953,Eukaryota,Chlorophyta,Pedinophyceae,Pedinomonadales,Pedinomonadaceae,Pedinomonas,Pedinomonas minor
ASV13954,Eukaryota,Unidentified,Oomycetes,Pythiales,Pythiaceae,Phytopythium,Phytopythium sp. SL-2017a
ASV13956,Eukaryota,Unidentified,Unidentified,Unidentified,Vexilliferidae,Vexillifera,Vexillifera abyssalis
ASV13958,Eukaryota,Arthropoda,Insecta,Lepidoptera,Unidentified,Unidentified,Lepidoptera sp. 016 PS-2011
ASV13962,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psammodictyon,Psammodictyon panduriforme
ASV13965,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Chaetomellaceae,Synchaetomella,Synchaetomella acerina
ASV13967,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia subfraudulenta
ASV13969,Eukaryota,Mollusca,Gastropoda,Unidentified,Planorbidae,Biomphalaria,Biomphalaria glabrata
ASV13972,Eukaryota,Unidentified,Oomycetes,Saprolegniales,Saprolegniaceae,Saprolegnia,Saprolegnia monilifera
